"time","V","Vadj","D","rho","I","S","normPW"
"2010-09-02 00:50:00",4.4,4.33263853774778,189.2,1.1466920451323,0.109090909090909,0.340759377778382,3.27272727272727
"2010-09-02 01:00:00",5.1,5.02358801192534,187.8,1.14783370183351,0.0470588235294118,0.775322616601337,8.1030303030303
"2010-09-02 01:10:00",3.6,3.54731512103182,180.4,1.14905088702878,0.0777777777777778,0.223910428198604,0.0787878787878788
"2010-09-02 02:20:00",4.7,4.63374906908424,179.9,1.15093663920064,0.0936170212765957,0.248947597046488,4.18787878787879
"2010-09-02 02:30:00",5,4.92979692272264,180.4,1.1511304160127,0.072,0.438548989782402,6.52727272727273
"2010-09-02 02:40:00",5.4,5.32459423415522,174.5,1.15139868023421,0.0407407407407407,0.138331388095161,12.1151515151515
"2010-09-02 02:50:00",5.3,5.22622910703435,169.4,1.15155630758409,0.0490566037735849,0.300352856063598,11.4424242424242
"2010-09-02 03:00:00",5.8,5.71954428961165,159.3,1.15172224587751,0.0362068965517241,0.236337716552144,15.3575757575758
"2010-09-02 03:10:00",5.8,5.72040103225763,162.6,1.15223988014665,0.0448275862068966,0.313368023724908,13.7454545454545
"2010-09-02 03:20:00",5.9,5.82007625794675,167,1.15286231847463,0.0457627118644068,0.375932761848244,16.5090909090909
"2010-09-02 03:30:00",5.5,5.42623092620473,175.2,1.15333162941233,0.0836363636363636,0.312264855058988,9.84242424242424
"2010-09-02 03:40:00",5.9,5.82153795187977,180.8,1.15373114992949,0.0322033898305085,0.434119310971175,13.8484848484848
"2010-09-02 03:50:00",5.7,5.62403077710202,187.2,1.15362843765799,0.0333333333333333,0.567531331518837,12.2363636363636
"2010-09-02 04:00:00",5.5,5.42742852676294,193.7,1.15409543885391,0.04,0.576732701846786,11.9939393939394
"2010-09-02 04:10:00",5.3,5.22993127804547,191.3,1.15400526974653,0.0358490566037736,0.57748903475709,10.7818181818182
"2010-09-02 04:20:00",5.7,5.62519671178996,191.3,1.15434607292664,0.0333333333333333,0.588865305197492,13.8727272727273
"2010-09-02 04:30:00",5.9,5.82258450701969,180.2,1.15435349080592,0.0338983050847458,0.456262957959973,16.0909090909091
"2010-09-02 04:40:00",6.5,6.41441183936924,170.9,1.1541915906465,0.0630769230769231,0.47594062641545,21.6787878787879
"2010-09-02 04:50:00",6.4,6.31518912116712,162.7,1.15389585943777,0.0828125,0.541006086284893,17.1757575757576
"2010-09-02 05:00:00",5.7,5.62203796323271,158.1,1.15240254523805,0.0473684210526316,0.354071807392332,12.2242424242424
"2010-09-02 05:10:00",5.3,5.22498063845984,171.3,1.15073123557585,0.0415094339622642,0.372550830954382,10.3393939393939
"2010-09-02 05:20:00",5.4,5.32309157678259,162.8,1.15042414428843,0.0351851851851852,0.300254281494022,10.6121212121212
"2010-09-02 05:30:00",5.9,5.82044136880412,162.7,1.15307929962942,0.0322033898305085,0.566721361379594,14.2363636363636
"2010-09-02 05:40:00",7,6.90440423528865,165.1,1.15247619874036,0.06,0.575136104712072,27.9272727272727
"2010-09-02 05:50:00",7.6,7.49716073331896,163,1.15291461072172,0.0315789473684211,0.551316546171979,33.6909090909091
